Timestamp,What is your Gender?,Where are you from?,Question1,Question2,Question3,Question4,Self Esteem Label
12/30/2021 2:40,Female,Dhaka,No I don't think so.,They are very considerate towards me.,No. There are certain things I am not allowed to do for my safety reasons.,Yes. They support me a lot. I am glad that I became a independent strong girl and also I can present my thoughts in front of them.,0
12/30/2021 2:50,Male,Dhaka,Not always.,I am giving them full respect.,In Shaa Allah.,Obviously. In Shaa Allah,0
12/30/2021 2:55,Female,Dhaka,"Yes, I think. I hate criticism the most while they are comparing me with someone. That makes me lose my interest. ","Yes, I think I could do that if so.","Not all things I can do, beacuse I have restrictions.","Yes, I think I am confident.  As my parents let me to choice my subject and other things and now they are more supportive than ever. ",1
12/30/2021 2:57,Female,Khulna,If  I don’t  have good qualities in me then the prime reason would be myself.  ,No,All things like they are always supportive towards my career decision.       ,"Well, I am trying my best to be a good human being.
 ",0
12/30/2021 3:03,Female,Khulna,"My parents do not criticise me at all. Sometimes they do compare me with my cousins or some other kids but they never criticise me. However, they did not support me that much back in my childhood. I think if they support me that time the way they support me now, I may have more good qualities.",I do not think so actually. I do not respect myself because of my surroundings criticism. My parents has nothing to do in this matter.,Not all the things my most of things. As a girl the amount of freedom I’ve I don’t think any other girl have that much freedom.,As my parents support me so I’m so much confident about it.,0
12/30/2021 3:45,Female,Dhaka,"Some, yes but some are when they are upset and need to vent on something or someone.","Not really, now my parents encourage me to for self-love","Sometimes, yes. Sometimes no. I'm a people-pleaser.... it wouldv'e been better if my opinions were heard in childhood... ","Yes, I do... realizing that everyone has both flaws and good sides was the key.",1
12/30/2021 4:04,Male,Dhaka,Sometimes i think but not always. ,Sometimes i think so.,Honestly i don't think so. In this case parents encourage me sometimes.,Honestly i have doubt on myself in this matter but my parents support me to some extent. ,1
12/30/2021 5:04,Female,Dhaka,Not criticism but definitely for being not supportive and only considering religion. ,Yes absolutely.,No. My parents would agree and I would too that I cannot do all the things like most people ,I do not feel confident as I am not studying the subject i feel passionate for.,1
12/30/2021 6:02,Male,Dhaka,That I do. My father does some negative criticism sometimes which in my eyes are pessimistic behaviors. These things demotivate oneself while degrading their self-esteem as well as performance.,"Yes, why not! ",My parents never puts strong barriers against my decisions. They often agree with my opinion while helping the matter.,"Yes! My parents always guide me to be on the right track discussion career options, religious matters and code of ethics that I should follow.",1
12/30/2021 7:08,Male,Dhaka,Yes.I feel that.,Yes.I do.,Yes.I do.,Yes.I do.,1
12/30/2021 7:16,Female,Dhaka,No ,Maybe,Mostly,Yes and inn shaa allah I'll be successful by the blessings of my parents.,0
12/30/2021 7:30,Female,Chattogram,"Won’t say responsible, but definitely parenting can be a lot more empathetic in BD ",Yes. Self esteem and respect grows from sureoundings,"Yes, mostly as my parents never forced me for anything ",I have full support of my parents and I know no matter what they will always root for me ,0
12/30/2021 8:37,Female,Dhaka,"Yes,it is obviously lack of my good qualities.",Till now they are much considerate about my faults and whatever mistake I've done.So I think I couldn't respect myself more than that I'm giving it right now.,Maybe not.Somehow I feel like I have restrictions.,"Maybe yes.If I'm going through in any difficulty , my parent's words,faiths, motivations always lit me up.",1
12/30/2021 8:49,Male,Dhaka,"Depends on what you define as good qualities. The question is so vague, in fact all the questions are vague. Do the eng101 and eng102 courses again and learn to ask proper questions. If you think being able to socialize with a bunch of idiots known as 'friends' is a good quality, you had a bad upbringing. Friends are just a small part of our lives. We will spend most of our lives interacting with people in our workspace, people within our genuine family, people we need to network with for favors, etc. Our parents know this, they have been through it themselves. So if they say being around with your so-called friends and doing 'kamla' activities and going into pointless gossips in the name of socializing and making memories is wrong, they seriously have a point. Talk to your parents, ask questions. If you can judge your parents decisions, why can't you communicate? Spend more time with family instead of friends and you'll know how to interact with them.","Parents know that the respect of their kids is as important as their respect. They won't let you marry someone from a family without ethics because they know it's bringing trouble from both the family they are getting you married to and their own family because of the criticisms. Parents are considerate on things that aren't possible problems. If parents aren't considerate in allowing you to hang out with your friends who themselves aren't well-mannered, they're right. You might become like them if you hang out with them and so what you define as respect may really be worthless.","I don't compare myself with most other people and other people don't influence me. You're the kind that thinks being able to be like other people, regardless of them being right or wrong, if the proper way. That's not true. Why? Because it's Bangladesh. And it's not Japan. My parents did well not letting me hang out with idiots. My friends also didn't let me hang out with the people who smoke and drink and do drugs so I can say I have a few good friends too. They are the same friends my parents let me be around with.","Yes I'm confident about it. As a human being, I'm heading in the right path. My parents had a huge impact in this. They supported me by keeping me grounded.",0
12/30/2021 8:50,Male,Dhaka,"Maybe,not sure enough",No Idea,No,Yes,1
12/30/2021 9:23,Female,Sylhet,maybe,i don't think both are connected,i've a lot of restricitons,they did support me in some cases,1
12/30/2021 10:21,Male,Dhaka,Absolutely. I always wanted to study English but had to change to another due to verbal abuse. ,Absolutely. ,No. They have made relationships taboo. I cannot be with someone I am not romantically interested in.,"No. I plan to leave my parents after I start earning. I cannot ruin my life for anyone. I have to be selfish to be a human with emotions.

Shoutout to my parents for being so shitty.",1
12/30/2021 10:39,Female,Dhaka,Every children's adore their parents very much. So whenever their parents criticize them they lose their confidence. But my parents are supportive enough.,No.cause my parents are enough encouraging,No.And i think it is good for me. Little bit limits are important in everyone's life.,No.i have some lacing in my confidence,0
12/30/2021 10:39,Female,Dhaka,No,I already respect my parents fully ,Yes I’ll be able to do all the things which I want and my parents will appreciate me if I’m doing something good but they will stop me if I’m going something which is wrong ,Yes I do feel confident. As I’ve stated earlier my parents only desire is to see me successful and independent so whatever I do to develop myself I always get full support from them. ,0
12/30/2021 10:47,Male,Chattogram,"No, because i think that a person is wholly responsible for his own lack of good qualities. ",I don't think so. Because i believe in my parents decision and i love to follow the decision.,I think i can do all things like most other people if i practice to do so. If i do or observe others good things then my parents will be happy with it.,Yes. i am confident that i am heading in the right direction to becoming the person i want to be. My parents always support me with my dicisions which are good for me.,0
12/30/2021 10:59,Female,Dhaka,"Yes, my confidence level is low. ",Yes,No. I hesitate and panic.,No.  ,1
12/30/2021 11:00,Male,Dhaka,"There may be many good qualitites that I lack, but my parents do understand that I am but a single person and I cannot possess every single good quality.","Yes, atleast I would feel that even my opinions were not null and void.",No I cannot. I haven't done much extracurricular activities because my parents did not allow me to have one. ,"Yes I do. After admitting to university, I saw how others from different backgrounds were brought up and also learned the flaws of my parents' teachings. I believe that whenever a person tries to do something on the spur of a moment, they should atleast not keep their parents in the dark about it since our parents are the ones who can give unfiltered opinions instead of just encouraging or discouraging us blindly.",0
12/30/2021 11:03,Male,Chattogram,No I don't.,"Yes, I would have.",Yes. ,Somewhat. ,0
12/30/2021 11:23,Female,Dhaka,I'm kinda confused..  Is it lack of good qualities about my  behaviour? Or work based good qualities?  ,"Yes, Of course. I always thought I'm world's dumbest student. I lost all my confident for their parenting style.  I couldn’t trust myself to do new things. But Im blessed with my friends and my big sister who supported me. They helped me get back my confidence. ","No, Not all the things I can do like most other people. ",I always wanted to be a better person in my life. And Yes I think I'm in the right direction. ,1
12/30/2021 11:25,Male,Dhaka,No they dont criticise harshly. Instead they always encourage me to acquire good qualities and harness skills.,They are enough considerate. I think I am the one who is showing a lack of respect towards them.,"Many things were forbidden or discouraged when I was child, but now they almost allow us to do whatever boys of our age do. Except serious things like smoking, misbehaviors, street fights etc.","Whatever direction I targeted to go toward, my parents show their full support. But personally I think I am not becoming the person I wanted to be. I am a failure.",0
12/30/2021 11:38,Male,Dhaka,No. My parents have no impact on my lack of good qualities. I believe I have enough good qualities and thanks to my parents for that. ,Respect always as parents. ,I'm definitely able to all about work.,Need support to any kind of activities ,0
12/30/2021 11:39,Female,Khulna,Obviously. The more they criticize me the more I realize how poor my performance are. And I try to improve them over time.,"I respect myself. And my parents taught me not to lose self-respect. Also my parents are considerate enough. Sometimes if not, I just have to try more and show them the results to make them understand.",My parents are smart enough to teach me the necessary skills. But they are often too scared to let me do things that involve some risks.,Yes. At first my parents were hesitant but now they understand and are supporting me ,0
12/30/2021 11:40,Female,Chattogram,No I don't think my parents criticism is responsible for my lav of good qualities. My parents never criticise me. ,"My parents are more considerate when it comes to me, they always understand me. ","Still I am able to do all the things I like, my parents always said that do whatever you want. ",Yes I feel confident. My parents always supported me. ,0
12/30/2021 11:42,Female,Chattogram,No. Their criticism is not responsible for my lack of good qualities. Even they will help me to do this and it will be easy to do,Yes I could have given myself more respect ,May not..but  I will try.,Yes I'm feeling confident.,0
12/30/2021 11:46,Male,Dhaka,sometimes yes and sometimes no . But in my opinion we should take it positively,no,no,they support me in all time,0
12/30/2021 11:46,Male,Dhaka,No my parents criticizes me saying that I didn't try where I tried my best,No my parents gives me enough motivation but sometimes they are a little inconsiderate.,Yes and my parents tries to motivate me on that.,Yes and I believe my parents will be by my side when I need them.,0
12/30/2021 11:59,Male,Dhaka,Yes. Sometimes it happens.,They are supportive and cordial enough to me. I am thankful to Allah for the respect I got.,Yes. Now i have that ability after I turned to 18,Now I think. I am in the right track. And my parents also do support to me.,0
12/30/2021 12:01,Male,Dhaka,No i didn’t think so,Yes. I would ,No. I didn’t ,Yes I am hopeful. I believe I am in the right path.,0
12/30/2021 12:11,Female,Rajshahi,Confused.but from the beginning always comparing with others have made  me fell I'm not good enough. And now is so deep that I cant help it .I cant change my past feelings. ,"Confused. They are my world ,if they are positive obviously I will be too ",No I cant   .I'm not good enough. I cant memorise things like others .that's a big fact ,"No  I dont .to be honest maybe  its my fault I'm not good in any secctor .my parent worked so hard for me .they   always try to support me .(only in study/academic 
 purpose ) ",1
12/30/2021 12:34,Male,Dhaka,No,No,Yes,Yes,0
12/30/2021 12:36,Female,Dhaka,Yes. I lack self confidence and I have insecurities about my body. ,"Of course. My mom defends the ""other"" person always in a fight/issue without even hearing my side .This has build a sense of ""oke maybe I'm wrong always"" persona in me .","Mostly I can , but I've severe anxiety and stressed issues .Woun't blame my parents directly but they are somehow involved in this.",I am trying to do things on my own .I have waited for my parent's approval for a long time but nothing worked. ,1
12/30/2021 12:43,Female,Dhaka,"No, my parents don’t criticise.","No, they always try to be supportive though they don’t always consider my decisions and I think it’s absolutely fine.  ","No, I am not allowed to stay out after maghrib and there are a lot of people who can . ","Yes , I am confident i am heading in the right direction to becoming the person i want to be and my parents always try to support me , encourage me in every possible way. ",0
12/30/2021 12:55,Male,Chattogram,Yes Maybe,No,No I can't do,"no, I am depressed",1
12/30/2021 13:15,Female,Dhaka,I don't think so. I don't allow to effect my good qualities for their criticism. ,No. They are great and that gives me much joy and respect.,No I am not able to do all the things most other people do.,Yes I'm confident.,0
12/30/2021 13:21,Female,Dhaka,Yes I think so.,Yes,No. I find it hard to do something.,They don't want me as a engineer but they supporting me,0
12/30/2021 13:32,Male,Khulna,"Nope, not at all. When they criticize my ideas, I always take it as a inspiration, because they are more experienced than me. ",No,"Yes I think that, I can do whatever Others can do. Because all of us are human. And my parents obviously support me on that. ","Yes, I feel confident. And my parents support me on that path too",0
12/30/2021 13:32,Male,Dhaka,Obviously. Couldn't be the perfect child ,Already giving respect. But yes. things would be different and good,No. Taught me to how to stand on this world ,"Don't know yet. But yes, they are supporting it. ",0
12/30/2021 13:49,Male,Dhaka,Noooooooo!!!!!!!!What types of stupid question this is!!!. Parents dont criticize. ,They already are with perfection. ,"Yes i can do anything ,what ever it is, doesnt matter how good or bad it is. as i stay alone. But i think if i would live with them then they Might abstract me from some bad habits of mine. ","They have full support on me. Because they are not like just work hard . Earn a lot of money. Then you will be successful. Things are not like this in my family. They give enough support for my mental health . According to me they gives full priorities what i wanna be . Like i have already tried so many occupation like chef, familial business, manufacturing peels, etc. But the fun part is they not like hey why dont you consider one , rather they are like ok try all the inner ideas of your and give a shot. Which ever works best for you choose it for your future. And stick to it then. So i can surely consider they have 100 percent support the person i wanna be. ",0
12/30/2021 13:49,Male,Chattogram,"My best friend is my maa. She criticize me like she's burning me. But I know she criticize me to bring the fire on me. Sometimes I like, sometimes don't. But now they don't criticize me that cause I try to reach their expectations. If I have any lack of good qualities or something else, that's totally my fault. There's nothing to do with them. It's all about efforts that I give. ",NO. They're the only person who takes me seriously. I know they don't listen to me but they understands everything without saying anything to them. I don't know how. They always tries to give me and my sister the best things of the day even we're from a lower middle class family.,"I'm a boy. Still i face many restrictions more than a girl. Yes, i could do a lot of things like most of today's people. But I understood that sometimes parents take some hard decisions for us for our own betterment that we don't like. ","Yes. My father is business holder. He knows everything about business, my mother is a housewife. She's from Arts. I'm studying CSE. Before my admission, they don't know much about the subject. But now they know. But they always tells me that, ""Whatever you want to be in life, always be the best among others. There'll be only one best person in your field, that should be you, nor second or third."". They tried to give me every necessary things for my study. They are the prime supporters of mine fulfilling my dream.",0
12/30/2021 13:53,Female,Dhaka,"yes, sometimes. ",I have neutral feelings about it. Sometimes their behavior boosts up me and sometimes demotivates me. ,"No, I don't think. because not all people are made for everything. I have flaws and me and my parents accepts that but they never stops to encourage me.",Whenever they praises me and encourages me my confident level always boost ups. And I feel confident you’re heading in the right direction to becoming the person you want to be. ,0
12/30/2021 14:00,Female,Khulna,Yes it is..I have always tried my best to things..but their critism makes me discouraged...,No..I always like to have enough self respect for myself.. ,Yes I do..I have always been  confident.. ,Yes I try my best..,0
12/30/2021 14:00,Male,Dhaka,"No, I don't think so. ",I don't think so. ,Not always. My mother sometimes not permit me to go for a tour or stay over with friends. ,Yes I do. They always keep faith on me. ,0
12/30/2021 14:04,Female,Dhaka,Maybe.,Yes.,Parents need to encourage us.,Yes.,1
12/30/2021 14:14,Male,Dhaka,"It depends on how you handle criticism. Some can take it well, some can break down. It's not only from parents that criticism comes. If one wants to succeed, then they should be able to handle criticisms.","My parents never said anything that made me lose respect for myself. If you care so much about what other people are saying about you, you will not be moving forward.","If I want to and eager to do something, then yes. If I'm not interested, I wouldn't do it. Depending on the situation I might even try if my parents are very interested and has valid reason.","Alhamdulillah. My family has always been supportive, obviously it wasn't an easy road and so far, I've been blessed by the Almighty.",0
12/30/2021 14:15,Male,Dhaka,no I don't think so,"No, Iam happy with myself",Yes I think I can do most of the things,I think i am on a right track,0
12/30/2021 14:32,Male,Chattogram,"No, They are very hopeful for me.",They give me enough opportunities. ,I am able to to do anything good. But sometimes my parents don't like if something risk for me.,Yes. I am confident. And my parents also hopeful about me.,0
12/30/2021 14:33,Male,Chattogram,No obviously 🖤,My parents are already great 🖤 ,"Before every single work, I take decision from my parents, I think I am able to do all the things like most other people.","Right Now I Am Studying at National University, 
Department of Accounting. Besides, I Do a Private job At a Stock Exchange Brokerage House Company. My Designation is Accounts Officer. Yes I Feel Confident. Because I am heading In the right direction to becoming ther person I want to be. Without my parents, I am Nothing.",0
12/30/2021 14:35,Male,Dhaka,I wish there was more criticism so I would have improved more. ,"They love me. What does it even mean, I think it doesn't go with my family that I have. They were always considerate.",I grew up as any other normal kid. So I do not have any regrets and my parents have given me all they could. ,"Yes, Having a great job a happy family life. Having a family that is still putting as much as they can in terms of mental peace and quality of life. Never pressurized me for anything.",0
12/30/2021 14:38,Male,Chattogram,Yes I think so.,Yes somehow ,Sometimes maybe yes or sometimes maybe no,I don't know about it as I am confused,1
12/30/2021 14:41,Female,Khulna,"They actually are responsible for every good qualities I have. Alhamdulillah.

","I guess now I think they could have pushed me to do things or introduced me things I am getting to know now. I could have achieved things earlier, things would be easier. But they did their best.",Thy encourage things related to me if they think it's good for me. Yes!,"Of course, they act if I am their whole world when we are talking, so having supporting people around you, it feels really good. 
My parents always gives me nickname related to my achievements and my dream, they uplift me in every way possible.",0
12/30/2021 14:42,Male,Chattogram,They always encourage me. ,My parents are always with me. ,I can do anything. ,My parents want to see my happiness. I love my parents very much. ,0
12/30/2021 14:48,Female,Dhaka,Parents criticism plays an important role in my case,I am contended with everything I have. ,Yes. I think I do things that most of us does.,I always get positive support from my parents.,0
12/30/2021 14:53,Female,Dhaka,No,No,Not all the time,Yes,0
12/30/2021 14:55,Female,Dhaka,NO.,No,I don't think I can do everything but I have trust in me about the things I may do and my parents too,Yes. I have full support o my parents and I way if I am stuck they are the only person to pull me up.,0
12/30/2021 14:55,Female,Dhaka,No,Yes,Yes,Yes,0
12/30/2021 15:03,Male,Dhaka,Nope. ,Nope. They're are perfect parents. ,Yes. Certainly. ,"Yes, I am ",0
12/30/2021 15:08,Male,Khulna,My parents never criticised me of anything.,No they couldn't be/can't be more considerate.,"My parents only stop me or stopped me from doing something others do when it is a bad thing to do such as smoking,pre-mature dating,etc.So I actually do not want to do all the things most other peoples do.",My parents always told me to earn for myself.They never pressured me to achieve my goals just because I have to look after them when they are old.That is why I feel confident heading towards the person I want to be because no one is holding onto me and I am holding onto no one.,0
12/30/2021 15:10,Female,Dhaka,They always think someone else's children are better than me in everything. ,Yes definitely ,"No,  not all people are same. Everyone is unique on their own. So noone should compare anyone with others.",I have a confidence that i can achieve what are my desires are if my parents give me the right support in the right time.,1
12/30/2021 15:10,Female,Dhaka,"Maybe, sometimes I think if I would be good enough,they wouldn't criticize.",Yes sometimes I really feel if they support me a little bit maybe I could .,No I can't but I don't blame them for it. They are just conscious I think.,"No I feel distracted and confused. They try to guide me sometimes in my field, sometime it helps or sometimes not.",1
12/30/2021 15:22,Male,Dhaka,It's a difficult question answer because I never gave it a thought.,My parents are considerate enough.,"Yes, I surely can but sometimes there were restrictions.","Yes I do, and my parents are very much supportive of this.",0
12/30/2021 15:24,Male,Dhaka,They never criticize me for my lack of good qualities.,"Yes, I could have.",yes I'm able to do all the things like most other people.,Yes I feel confident I'm heading in the right direction to becoming the person I want to be and my parents fully support it.,0
12/30/2021 15:31,Male,Dhaka,"Big no.my parents criticism have always contributed towards me in being a better human being. Their criticism have always been for my well being, i always believe that.","No, i parents have always been enough considerate towards me which helped me to believe i can achieve everything in my life.","My parents have always been neutral towards me, never given me too freedom and never been too conservative. This has always been fruitful to my upbringings. I believe i can do everything any man can do because of my self confidence and my upbringings.","Yes, i strongly believe i am going to be person i always want myself to be. My parents love and faith towards me have contributed to this believe strongly.",0
12/30/2021 15:46,Male,Dhaka,Not at all. I think it's just myself who is responsible. Although I think every parent has some contributions to their child's attitude. ,Yeah. But I can't blame them because society made them this way. ,"I think I have more freedom than an usual school/college student of Bangladesh. My parents considers my opinions and lets me do things if they think it's right to do. 
",Yes. My parents are have good impacts on it. ,0
12/30/2021 15:47,Male,Chattogram,Yes I think,May be yes,Sometimes I can't,I guess yes.,1
12/30/2021 15:48,Female,Chattogram,Maybe not.,Of course. I couldn't take any decision still which made me confused person. Cos I have to depend on my parents decision. ,Maybe not. Whatever they say no I have to obey  them,I have tried my best.. ,1
12/30/2021 15:51,Male,Dhaka,Exactly not full but in some case,Yes..If they do so I will give 1000% efforts ,No. They think that I am very lazy,They support’s me but they could do it more better ,1
12/30/2021 15:53,Female,Dhaka,Not exactly,No I am happy with myself,Yes I can do alhamdulliah,Yes Hopefully,0
12/30/2021 16:07,Male,Khulna,yes,no,no,yes,0
12/30/2021 16:13,Male,Chattogram,"No, there were no criticism form my parents.","The way my parents grew me, I am very proud of it and I feel respected about myself.","To be honest sometimes its not possible to do things as the most other people but The way I do it , my parents always supported me even if my way was the wrong one and for that they have always corrected me.","Yes, I am confident about that because the place now I am at , I am enjoying every bity of it and I think I can even do better. So, my parents have  the faith and trust  in me and always supported my way of living my life wholly.",0
12/30/2021 16:13,Female,Dhaka,I think i don’t bad qualities. But i try to improve myself. And they always encourage me to do that.,No. I think i give myself enough respect and that became possible because of them. ,"No i cant do alla the things like other people.But, The things i can do ,my parents appreciate all of them and they are proud of me. ",Yes . I feel confident enough and they constantly give me support in my journey. ,0
12/30/2021 16:28,Female,Dhaka,Not always. Sometimes they did criticism for my study but that was not always in every aspects. So those are  responsible for lacking of my any good qualities.,Maybe yes. There are lots of time when I felt myself as unworthy or good for nothing. Some of the time my parents tried to know but most of the time I didn't find the strong support from them by which I could have given myself more respect.,"No, I don't think so. There are many things in life that I can't do like most other people and my parents don't allow me to do so as they have fear of proper protection of me.",Yes I am confident. I know I am in a right direction. I always wanted to be a self dependant women and now I am.,1
12/30/2021 16:43,Male,Dhaka,"Yes, it is responsible often. But their appreciation and guidelines are the key to Success.", I could have given myself more respect if mg parents were more considerate.,No. I Don't think I'm able to.,My parents always supports and guides my in the right way.  So I am confident I'm heading in the right direction to becoming  the person I want to be,0
12/30/2021 16:55,Female,Dhaka,"No, I don't actually bother what other people think or say about me & maybe that's the reason why I don't feel other people including my parents responsible for anything that I lack of","Absolutely not, I'm completely satisfied with myself & maybe self love is the main key which helps to give the proper respect to myself that I truly deserve","I'm able to do however, the judgment is basically on my hand which mainly allows me to do certain things & since my parents have faith on me, they would never discourage or forbade me to do something","Yeah, I'm absolutely confident! ",0
12/30/2021 16:56,Male,Chattogram,No,No ,Yes ,I am confident. My parents support is perfect ,0
12/30/2021 16:57,Male,Dhaka,"I do not have this experience, but their words and attitudes did shape a huge part of what i am today","Maybe, but to judge them would be too harsh from my side","Yes i do, but due to my complicated family situation, i believe there are lots of gaps that cannot be filled","I am not too confident about it, but i know i have their support",1
12/30/2021 17:05,Female,Dhaka,No. I think my parent's criticism made me into a nice person with  good qualities.,They are enough considerate to me and my rebellious nature. Their patience and respect towards me and my decisions makes me more respectful towards me I guess. ,"Yes, I do think so.","I think so, because I still don't regret anything in life. My parents were a great support always. Whatever my decisions were they always agreed if I was right.",0
12/30/2021 17:06,Female,Dhaka,No.I Don't think so.,Yes,"No, there are some restrictions.",My parents are supprting and boosting up my confidence.,0
12/30/2021 17:11,Female,Dhaka,"Sort of that if you criticize a person he or she'll surely question himself , question on his quality",Yes I could give myself more respect cz there's a lot of things to do in my life,No they will reject it,Obviously they don't support my decision,1
12/30/2021 17:27,Female,Dhaka,They rarely criticize me. ,They are enough considerate and it helps me to respect myself more.,Depends on situations and activities.,My parents always support me to become a better person and I think I'm heading to the right direction along with their guidance.,0
12/30/2021 17:28,Female,Dhaka,No I don't think so.,My parents are already very considerate.,No I don't think so. I have my own individuality and my parents accept me the way I am.,"No , sometimes I feel lack of confidence but my parents always support me to do the best.",0
12/30/2021 17:33,Male,Chattogram,They are not overly critical about my activities instead their parenting helped me to build a lot of good qualities.,I respect myself enough now.,I can do more things than people around me due to the freedom they provided.,Yes I guess I’m on the right track till now.,0
12/30/2021 17:49,Female,Dhaka,No exactly not.it s my fault,No I don't think so.,Not every time,Sometimes I don't feel lack of understanding.,0
12/30/2021 17:55,Female,Chattogram,"First of all, every parent wants their child's welfare. When the children do something that was not to be done the parents recorrect them. But criticism is not the only solution even if the children lack good quality.  ","Yes, maybe I could. If my parents were more considerate then I would be able to discuss every single problem of mine with them. I could solve many problems more considerately. Thus I could give myself more respect. ","Yes, I am able to do all the things like most other people. My parents doesn't interfare with my daily activities. But things that are complicated and needs more consideration, I need their constant to do.",I am confident in myself and my parents fully support it.,0
12/30/2021 17:56,Female,Dhaka,They actually rarely criticize me. so the lack of good qualities I have is totally my fault. ,i guess the confident i have thanks to them .,the permission the gave me i can't ask enough,Yes thanks to them. they gave me enough options ,0
12/30/2021 18:02,Female,Dhaka,Sometimes. Sometimes i am also responsible,Maybe. I dont know actually,No i dont. I have less emotion left on me. I have less feelings less trust and feel like worthless.,If i wsnt to go on a righr path my family will support me.,1
12/30/2021 18:11,Female,Dhaka,No. I think it's possible to cultivate good qualities regardless of parents' criticism,No. My parents treat me fine.,I am not able to do everything everyone else does but my parents don't have anything to do with that,"I'm not sure of what I want to be. My parents are trying to guide me through this, but it is difficult for me to not just fall into what they are expecting",0
12/30/2021 18:12,Female,Dhaka,No. They appreciate me for who I have become most of the time.,Yes. It would have made me more independent and self-motivated individual.,Not entirely. There are certain restrictions but then again I try to convince them.,Yes I do. I believe they trust my decisions and me.,0
12/30/2021 18:22,Female,Dhaka,I hurts the most .. criticizing with other people can discourage us even more I think,My parents gives me enough respect ,Yes I am ,Yes I'm confident and even my parents are supporting me as well,0
12/30/2021 18:31,Female,Dhaka,"My parents criticise my works in a positive way, so it inspires me to become a better person.","My parents have given me so much support and always respected my decisions and opinion, because of that I respect myself.","My parents always encourage me and they believe in me, that is why I think I will be able to face challenges and work through them.","Yes. As mentioned before, my parents support me and believe in me. Their support and encouragement helped me come this far and I feel confident about myself.",0
12/30/2021 18:39,Female,Dhaka,No. I should have been more responible. It is not their criticism.,Yes. For their complains about me make me feel like a worthless person,They always try to push me to think what will society say! It’s about their pride. So i have to do things on their way.,No . I can’t think straight or normally for their pressure ,1
12/30/2021 18:44,Female,Dhaka,"Yes, I think my parent's criticism is responsible for my lack of good qualities",Definitely. I could've given myself more respect. ,I don't think I'm able to but I think I'm able to do the things I'm good at doing and have interest on.,I don't think I feel much confident. My parents support their decisions only.,1
12/30/2021 18:53,Female,Dhaka,Maybe Something their behavior towards to me.,I don't know ,No my parents are strictly handle,I am trying to be. ,1
12/30/2021 18:54,Female,Dhaka,Yes.If they were more enouraging I would have done better.,Yes,Yes,Yes,1
12/30/2021 19:27,Female,Dhaka,Yes. It is the general mind set of bangladeshi parents to criticize on small things.,"Yes i do believe in some point. But the amount of respect I have for myself, it is enough",Not really i can do whatever i want to do. They support me with that.,"Yes, as my graduation are near they're making me proud which is giving me confidence.",0
