Timestamp,Gender,Where are you from?,Parenting Label,Question1,Question2,Question3,Question4,Label
12/30/2021 2:40:08,Female,Dhaka,,Yes. I think my grades sometimes doesn't meet their expectations.,No. They encourage me a lot.,No. I don't feel burdened to do something.,Hopeful. They do a lot for me.,0
12/30/2021 2:50:55,Male,Dhaka,,Yes. I couldn't get chance to get my position in Public University. ,Sometimes I lose interest.,"Nope, I never felt any difficulty.",Their activity makes me hopeless.,1
12/30/2021 2:55:58,Female,Dhaka,,"Yes, I felt that while I decided to not take part in Public varsity admission exam.","Not that much, but sometimes I feel like worthless. ",Yes sometimes it is tough.,"Yes, it make me hopeful as they always thinks for my betterment. ",1
12/30/2021 2:57:45,Female,Khulna,,I am out of words to explain my exact feeling though they're always supportive towards me.        ,My parents never force me to do something.       ,"My parents be like, you can fly high you want to ",My parents activities are hopeful but I am hopeless :3   ,0
12/30/2021 3:03:58,Female,Dhaka,,My parent’s always desire that I will be the best in-terms of my academic result but somehow I never fulfil this desire and I feel worthless every time.,Ever since from my childhood I’ve always dreamt about to be a singer but my parents always told me to give more attention in study. That is how I lose interest towards singing and now a days I do not sing that much by myself.,As I do not find it difficult so there is nothing much to explain the experience of that time.,"It is somewhere in between of this two. Mostly the way they support me I feel so much hope. However, sometimes the way they do not even try to understand me makes m hopeless. ",0
12/30/2021 3:45:05,Female,Dhaka,,"Yes, I do.... for not getting good grades and for not being as extroverted as my cousins, basically for being an allrounder.","No, I do not lose interest... My parents encourage me to have hobbies",Not really,"Sometimes hopeful, sometimes hopeless... depends on the situation.",0
12/30/2021 4:04:46,Male,Dhaka,,Sometimes I felt worthless not become capable student as my parents want. ,I had a lot of interest in cosmology but my family never encourage me in this matter. ,No. I do not find any difficulty. ,It does not make me hopeless.,1
12/30/2021 5:04:10,Female,Dhaka,,My parents wanted me to study medical but I didn’t want to. So when I didn’t get admission in public university I had to go through a very rough situation to get admission in brac.,They only consider religious values. They never let me dance or sing because apparently it’s prohibited for girls. ,This mainly happens because of financial issues.,Very helpless and hopeless. ,1
12/30/2021 6:02:21,Male,Dhaka,,For the first time in my life I felt this after HSC  but my parents never forced me to feel this guilt rather they were humble.,Nah! Not really. There's a space for myself to be passionate about something where my parents won't really bother much.,No.,Sometimes or maybe not.,0
12/30/2021 7:08:37,Male,Dhaka,,No.I don't.,No.I don't.,No.I don't.,I feel hopeful.,0
12/30/2021 7:16:01,Female,Dhaka,,I have dreams to make my parents proud and fullfil all their needs just like they did since childhood. They have given the best care and now it's my turn. I pray to Allah just to let him know that I want my parents to see my success and enjoy it's vibe and till then Allah blesses them good health and long haiyat Ameen.,No,No,"Hopeful, no doubt.",0
12/30/2021 7:30:10,Female,Chattogram,,"Not worthless, but guilty","They mostly always encouraged me, so did not affect me much ",Not sure what it means ,Hopeful. My mom is my biggest inspiration ,0
12/30/2021 8:37:23,Female,Dhaka,,They have supported me always but somehow i couldn't fulfill their expectations in many fields. But they've faith on me and they are still supporting me.,Barely they get angry but in maximum time they try to make me understand about the later importance of the activity,No I never felt like that,"Whatever they're doing,it always encourages me and gives hope",0
12/30/2021 8:50:22,Male,Dhaka,,"Yes,sometimes",Nope,Yes,Hopeless,1
12/30/2021 9:23:47,Female,Sylhet,,when my results are not up to the mark,"firstly, they don't give permission easily.but they didn't let me do things for a long time after giving permission ",sometimes,sometimes hopeless,1
12/30/2021 10:21:27,Male,Dhaka,,"Yes. Even if I get an A+ with 100/100 or stand first in exams, the expectation and verbal expressions change from being cutesy to demanding. ","Yes, talking to the opposite gender over the phone or even talking about relationships or love. I never got any support and had to manage everything on my own.                ","Yes, all the time. Pursuing hobbies, going out and hangout with the opposite gender becomes an issue. ",They were supposed to understand basic parenting before bringing a children in this world!,1
12/30/2021 10:39:00,Female,Dhaka,,Yes. I never fullfillled my parents dream. I want to see them happy for me. But it is tough.,Yes. I loved to sing songs. But they didn't allow me to learn. And now I am not interested.,No. I would love tk do that every time.,"Every person has good and bad side. My parents also have them. So I feel hopeful whenever I see their good side.And when its about bad side, I just make sure I have to learn something and never do that.",1
12/30/2021 10:39:58,Female,Dhaka,,Didn’t feel worthless yet because my parents desire is to witness my success and I’m still working hard to get there. ,No my parents do not interfere in my interest but if I do something and Give it to them;they gave me feedbacks or encourage me. ,No ,Hopeful ,0
12/30/2021 10:47:15,Male,Chattogram,,"Yes, I feel worthless for not fulfilling my parents desires. And it's a horrible experience. I couldn't sleep whole night if i do so.",No. Because my parents always support me for what i love to do. They only stop me when the work i am doing is not good my future life.,No. I think it's my duty to do so.,I love my parent's activities. And it's make me hopeful.,0
12/30/2021 10:59:58,Female,Dhaka,,"Yes. Couldn’t be a doctor for which they are still unhappy, even if not a good student in engineering now. ",Sometimes,No,"Hopeless mostly, hopeful sometimes when they try to understand.  ",1
12/30/2021 11:00:49,Male,Dhaka,,"Since I am a student, I would feel that the money that was used on me would be worthless if I did not produce the result my parents expected.","Before my O'levels exam my parents only enforced me to study, I could not hang out with friends either not pursue activitied I liked. But soon after their opinions started to change and they started to respect my opinion as well.",I do not find it difficult to talk with my parents when I want to do something.,Hopeful since respecting the opinions of both parties is a great way to avoid arguments.,0
12/30/2021 11:03:45,Male,Chattogram,,I do.,Did not give up. Still trying to balance everything.,Not really. ,Got used to their behavior at this point. It sometimes makes me hopeful and sometimes I feel hopeless.,1
12/30/2021 11:23:56,Female,Dhaka,,choto bela theke ora sob shomoy chaito ami class e jeno ekbar holeo 1st hoi kono subject e kono games e ontoto 1st  hoi but ektateo hote pari nai. Porashonay Ami always e math e weak chilam so oder ei asha jiboneo puron korte pari nai. R games e? Amke basha theke ber howar kono chance e chilo na even amar chad e or garage e giyeo khelte partam na. ,"I always wanted to learn about paintings. They never really cared about what I wanted. They knew I'm good in arts but they never enrolled me to any classesPaintings are not only thing I wanted to do I wanted to learn self-defence / Martial arts, Piano etc. You know leaning painting thing never happened so I was afraid to told them about my other interests. Cause they will say It's not worth the money cause you can't be the best.তাই আস্তে আস্তে আমি আমার সব interest হারিয়ে ফেলি।","Oh Yes, I was so interested to participate in Dance or fashion show or in a fest's worker  they never supported me. ",I'm hopeful. We can't live this world without hope. In Sha allah they'll understand me. ,1
12/30/2021 11:25:45,Male,Dhaka,,"I always feel worthless. I could not fulfil some dream of theirs, still at my 20s, this feeling always hurts me. Im ashamed that such an awesome parent like them had to go through my failure they dont deserve.",They are super supportive. I always wondered how only in one generation gap my parents are so sympathetic and supportive (as my maternal grandparents are strick). I can share almost anything a 20 yrs old teenager mind can come up with. And they never mocks my interests or views in any prospect even if its something harshly against their views.,Sometimes they take time to allow me to start something but they consider it and talks with me with an open mind.,"I think they are doing their best for me. I imagine if I ever have child I would not be able to do that much for my child. They always give me hope. Sometimes they are hurt enough to give hope and says that I would never be able do it, but its just the heat of the moment, they eventually helps me with that later.",0
12/30/2021 11:38:31,Male,Dhaka,,Nothing ,Convince ,I've no experience ,Very positive ,0
12/30/2021 11:39:11,Female,Khulna,,"My desires are too big for my parents to even imagine. And if I can't fulfill my desires, I get disappointed myself. ","Nope. I make my parents value my interests. At first they may not listen, but they listen and understand eventually (it takes a lot of effort though)",No.,Their life is their. My life is mine. I just expect them to feed me and help me achieve my dreams. And they never fail to do that.,0
12/30/2021 11:40:55,Female,Chattogram,,"No I am not feeling worthless for not fulfilling my parents desires, because they are always supportive. ","No I am not losingy interest in the thing I love. My parents always support the things I like, they never understamate my likings. ",No. ,I am feeling blessed amout my parents activities because they never put pressure on me. The activities of my parents make me hopeful. ,0
12/30/2021 11:42:54,Female,Chattogram,,"Yes,I feel worthless for not fulfilling their desires.",They will react normally and also appreciate it.I am very excited for doing this parental activistes.,No. If I will manage it.I thik will be easy,I am feeling exited to do this honourable work.,0
12/30/2021 11:46:20,Male,Dhaka,,They expected their son should study in public university but i can't ,they always support me ,no ,hopeful,0
12/30/2021 11:46:47,Male,Dhaka,,I don't feel it but my parents  consider me worthless for some moment ,No my mom tries to understand  my interests but its hard to convince my dad,Yes,Sometimes hopeful. But most of the time hopeless.,1
12/30/2021 11:59:12,Male,Dhaka,,Yes. I felt. My mom and Dad has a very high expectation of me. But I don’t think that I ever reached that high. ,Yes. I wanted to be a cricketer. But they rejected my proposal.,Yes. Sometimes I face difficulties because they don’t have that faith of my work.,Sometimes hopeful. Sometimes hopeless. Mixed totally.,1
12/30/2021 12:01:09,Male,Dhaka,,Yes. When i didn’t get GPA5 in HSC,No,No i didn’t ,Yes make me hopeful ,0
12/30/2021 12:11:35,Female,Rajshahi,,Yes. So depressing ,Yes . They dont like and respect music or it's a bad profession to them . That's why they discourage me all the time in this sector. They only need a good student. But I'm not so I shouldn't do these things. ,Confused. Most of the time I find it difficult.,"Sometimes hopeful ,sometimes hopeless ",1
12/30/2021 12:34:21,Male,Dhaka,,I dont know,No,Yes,Hopeless,1
12/30/2021 12:36:16,Female,Dhaka,,Always .My mom is still unhappy about my admission in a private university. I'm not very good at home tasks and I always get compared with my cousin sister. She's never happy with me.,"Sometimes I get good response but other times they think it's a waste of time and money. Specially I struggled a lot to keep up with my ""drawing "" hobby. I do get freedom in this case now as I'm older.",Yes .I always need to take permission before taking even before doing something little (ordering food online) because my mom often gets offended.,"Hopeless most of the time. There is no ""family activity"" happens in our family (travelling, going out etc) ",1
12/30/2021 12:43:32,Female,Dhaka,,"Yes, as my father really wanted me to get admitted in Dhaka University and I did not want to so I felt guilty for not fulfilling his wish but other than that he is really supportive.",Never happened . ,As i really love to travel but I am not allowed to travel with my friends ( without my family ) ,There was a time when they made me feel hopeless but now they encourage me all the time as they are seeing I am working really hard . ,0
12/30/2021 12:55:14,Male,Chattogram,,Yes,No,Yes,Hopeless,1
12/30/2021 13:15:46,Female,Dhaka,,No I don't feel worthless,They don't react that much,No I don't find it difficult,Yes hopeful,0
12/30/2021 13:21:41,Female,Dhaka,,My parent's want me as a doctor but I didn't get a good marks at admission test so I felt worthless thousand times.,Yes I always wanted to study history but my parents did not allow me to do so.,"Sometimes, as I think iam a loser.",Hopeless I guess as They don't even try to understand my feelings,1
12/30/2021 13:32:33,Male,Khulna,,"Yes, I felt that when I got red card from ISSB. ","My parents always encourage me to do whatever I like to do, untill it harms others",My parents encourage me. ,Hopeful,0
12/30/2021 13:32:44,Male,Dhaka,,Yes.Feels like unwanted child ,Obviously. These things doesn't bring bread in the house ,Sometimes. Things need to be done as perfectly as possible ,Sometimes hopeful. At least thinking for the better good,1
12/30/2021 13:49:07,Male,Dhaka,,Feeling worthless??? No way . Both of us know I will try till the pick to fullfill their desire. My effort what really counts to them.,i was separated to hostel in my childhood so i wasn't born up with traditional parenting . So i will skip the question .,No way. Parents are what really matter in life. What is meant by difficult. They are world for me. ,So much greatful & blessed.  They are like a full time guide and motivation to look forward. ,0
12/30/2021 13:49:54,Male,Chattogram,,"Yes. Sometimes, i feel like my parents are wasting their money on me. I know I'm capable of what I want to do. But sometimes i don't put up that courage to do that. Actually I know I wanna do ""the thing"" but eventually I don't know the procedure of doing ""the thing"". I feel like I'll fail in their eyes. I think I will not be able to make my parents proud. They never put any pressure to become this or that. They told me to become something that I'm good at but I don't know how can I do that.",Never. I love everything and every activities my parents does. Sometimes i feel irritated. But never lose the interest. My parents are also a typical Bangali parents. At first they question my own interests and my feeling towards it. But as the time goes the understands my point of view.,"Kind of. Cause I'm from a very conservative family where parents are the head of the family. I know they want the best for us. But they sometimes don't wanna listen to us. But if I give my 100% effort to make them understand, they might understand.","It's 50-50. It's between yes and no. Some of their activities make me hopeful. They took and gave me some serious decisions which actually helped me in my life. That time I felt like they are the Angels from Allah.. On the other hand, sometimes they do something crazy that makes me hopeless. ",1
12/30/2021 13:53:38,Female,Dhaka,,"Yes, because they always fulfils my every desires or demands. So, I feel divested whenever I cant fulfil their desires.  ",It's neutral. Because I love and respect my parents but also i love other things in my life. Not all things can be replaced. ,Not all times. I just need to think twice before taking any step whether that is good or bad. ,"No, they always supports me and respects my decisions. So, i feel always hopeful and cheerful for their activities. ",0
12/30/2021 14:00:03,Female,Khulna,,It’s kind of feeling of guilty ness..not making your parents proud is the worst feeling of all time,Yes sometimes.. Because of their harsh behaviour it feels like I should stop doing things I really love..,Not really..I do take strong stand for that..,Yes they do..Being hopeless is like not able to feel good or happy about anything ,1
12/30/2021 14:00:32,Male,Dhaka,,"No, I don't.","No, I don't. ","I faced it rarely, not often. ",It makes me hopeful always. ,0
12/30/2021 14:04:17,Female,Dhaka,,"Yes, I feel worthless.", They don't care much in some interests ,No I don't.,In between of hopeful and hopeless ,1
12/30/2021 14:14:44,Male,Dhaka,,Parents' desire may be different. It's whether they support yours. ,My parents don't understand my interests. Neither they force me away from it either.,"If I've a valid reason for doing something, my parents are often understanding.",What kind of activities? I try to follow in their footsteps and try to avoid the misconceptions that they might have/had.,0
12/30/2021 14:15:54,Male,Dhaka,,Its shame of every child for not to fulfill parents desire. So i feel worthless,I loosed interest in vlogging as my parents always discouraged me about this.,Yes I feel difficult to try new hobbies.,hopeless sometimes,1
12/30/2021 14:32:09,Male,Chattogram,,I feel bad when I can't fulfill my parent's wishes. Because it makes them upset.,I love bike. But my parents don't like it. They ordered me to never ride a bike.,"No, It's very easy for me. Because they always try to understand my opinion.",Yes. Sometimes I feel really hopeless as I am not achieving anything,1
12/30/2021 14:33:09,Male,Chattogram,,I felt worthless once When my SSC result was published. After that my Parents came to me and encouraged me for future Results. ,Actually my Parents are too friendly with me 😇 So I never Lose interest of anything. ,Never.I feel confident about everything,They Are heaven to me 😇 So I always feel great about their activities 🖤,0
12/30/2021 14:35:12,Male,Dhaka,,Not aware of such.,"Not really. It doesn't have any impact on my parents, so they are ok with it.","No, alhamdulliah it is not difficult for me to do anything",They are learning to coup with the generation. More or less they are still trying.,1
12/30/2021 14:38:48,Male,Chattogram,,Yes I feel depressed,"Yes, sometimes my interest doesn't match with their desire which they think it would not make me successful and happy in future. So I end up following their instructions.",Yes sometimes maybe,Make me hopeless somehow,1
12/30/2021 14:41:49,Female,Khulna,,"I feel I could have done better, maybe I should have followed a different path. It feels better if you can manage to make your parents happy. 
But it always is about me, if I fail at something it's my loss and my parents has nothing to lose or win with that, that's what they told me. So if I can't meet some expectation of theirs, I feel bad for myself not because they would feel bad.","Yes I did. If it is beneficial they agree, basically they would explain how my interest can help or harm me. I had to choose. They can be stricter sometimes.","No,I don’t find it difficult to work up the initiative to do something for my parental activity.",Hopeful. They are great as parents.,0
12/30/2021 14:42:21,Male,Chattogram,,I haven't face it. ,My parents are always supportive. ,My parents are the best. ,I am really hopeful 😊,0
12/30/2021 14:48:33,Female,Dhaka,,I have never felt worthless. Because every family member is important and they have some responsibilities to fulfill. ,It rarely ever happened to me,It is clearly not difficult for me to work up any sort of initiative,Their activities have always inspired me till these day and makes me optimistic,0
12/30/2021 14:53:46,Female,Dhaka,,"Yes. When my mother was suffering from covid-19, I was unable to help my parents because of sickness.",Yes. I lost the interest for travelling,"Sometime, I feel the difficulty",They always give me hope & encourage me but sometimes they don't even want to hear my words,1
12/30/2021 14:55:25,Female,Dhaka,,"Yes, I felt and it breaks my heart overthinking about the situation that I didn't fulfill it.","No, I don't lose any interest because my parents had always given me the opportunity to flourish myself the way I want in a proper and good way.",No.,It always makes me hopeful.,0
12/30/2021 14:55:29,Female,Dhaka,,Yes I feel,Yes I lose interest. They make me lose it.,Sometimes maybe i feel it difficult .,Regular I feel hopeless,1
12/30/2021 15:03:10,Male,Dhaka,,"Sometimes yes. But it's mostly because they did and still do a lot for me. So, the least I can do is stand up to their expectations towards me as I trust what ever they expect will end up being fruitful for me. ",Not Actually. In fact If I need any opinion regarding things I love I ask them. Cuz I believe they'll provide me with constructive suggestions,"Sometimes yes. But that's just a part of growing up. Sometimes we have our disagreements because of the difference in age, perception, experience. ",They definitely make me hopeful. ,0
12/30/2021 15:08:33,Male,Khulna,,"I once participated in a national math competition in which my teachers and parents believed I would do well.It took place in cox's bazar and I was so excited that I did not prepare for well for the test itself.So yes,I could not achieve anything from it and my mom sometimes tells me how I missed a great chance to achieve something just because of lack of practice.And thus I often feel worthless because of  that.","My parents always support me in my interests and hobbies.If something does not go against my religion my parents are absolutely okay with me doing that as long as it makes ""me"" happy.","No,parental activity does not make it difficult for me to do anything.I suppose the only thing that makes me procastinate is my laziness .",My mom is a single mother and thus she always tries to overprotect me.At such times I feel angry but all the other activities of my mom only and only makes me hopeful.,0
12/30/2021 15:10:11,Female,Dhaka,,"All the time i feel worthless by their behaviour.  In my current state I am a student,  can not earn money. Dependent on them so I have to do the things they told me to do..","Of course, I have a desire to learn singing and dancing. Which my parents never support. And as a result i never had a chance to learn those desires of mine.","No, Its easy for me and I am confident about it",Sometimes i feel so bad that i just want to die but then i think they are my parents. They rights to scold me but not always they are right.,1
12/30/2021 15:10:45,Female,Dhaka,,"Yes I feel worthless,sad, guilty for not fulfilling their hopes.","Yes, sometimes my interest doesn't match with their desire which they think it would make me successful and happy in future. So I end up following their instructions.",Yes several time I could not take initiative to do something because of my Parents As they think Iam not that much capable.,No sometimes they understand me which makes me hopeful but sometimes their act don't.,1
12/30/2021 15:22:56,Male,Dhaka,,I tried and it didn't work out but they were somewhat happy to see that I did my best.,They don't care as long as my interests doesn't interferes with my studies.,I don't remember such experience but everytime I took an initiative to do something they were somewhat supportive.,"It's 50/50 actually, sometimes their activities makes me hopeful and sometimes hopeless.",0
12/30/2021 15:24:19,Male,Dhaka,,"Yes sometimes, but my parents don't have a high desire for me. They always give priority to my desire first.","No, They always support my interest and things that I love.","yes, I find it difficult to work up the initiative to do something but its not depend on my parental activity.",Most of the time hopeful sometimes hopeless. It depends,1
12/30/2021 15:31:33,Male,Dhaka,,I dont. If I want to pursue my own desires which are different from my parents then they will understand about it and encourage me on that too!,I dont. My parents have always put interest in my likings and dislikings and have encouraged me to pursue my own interests.,"I haven’t taken any initiatives yet, but if i do in the future then i feel my parents will have faith in my strenths and in my dreams.",My parents have been pleasant in both their marriage and towards me. I am always hopeful about me to become a great human being like them and they always inspire me to do great things in life.,0
12/30/2021 15:46:13,Male,Dhaka,,Not exactly worthless but a little guilty. Some of the desire of my parents are  kind of school so sometimes I don't care about that sometime. ,"As I have mentioned earlier, they are really old and my interests are on computer sided (gaming & freelancing). They don't really understand what I am doing on the computer. There was a time when I used to play too much games but nowadays I don't. Recently I started freelancing and earned some money, they were proud but they told me to do it while doing the study regularly and keeping it (study) as the main priority. ",No,They make me work hard as they are working hard for me. ,0
12/30/2021 15:47:56,Male,Chattogram,,No,No,No,Hopeful ,0
12/30/2021 15:48:31,Female,Chattogram,,"I didn't get GPA-5 in my HSC exam. That's why I couldn't attend admission test of BUET, KUET, CUET. Also, didn't get chance in medical. That time i felt worthless. ",I have lost many opportunities and could not express about my hidden talent properly for my parents insecurities about my study. ,They never allow any of my varsity trip. ,Don't know about it,1
12/30/2021 15:51:19,Male,Dhaka,,Yes. Because I can’t earn enough money at this time,They didn’t give enough time to get established myself,"Sometimes. Because, I am not well capable of do anything at this moment ",Maximum time hopeless because they always want money,1
12/30/2021 15:53:48,Female,Dhaka,,No ,No.. I love them most and respect them as much as I can ,No,No... They are always supporting me,0
12/30/2021 16:07:42,Male,Khulna,,no,no,no,hopeful,0
12/30/2021 16:13:37,Male,Chattogram,,"Yes, I sometimes feel worthless because according to my age I am supposed to contribute something to my parents through they dis not ask me to contribute but still I think I may have some contribution to my parents.","No, because of my parental activities my interests always rises up. they know better than me always and they know me better so they behave like that.","Yes, Sometimes I feel difficult to work up the initiative to do something for your parental activity but later I get to realize that Its for my own good.",Most of the time my parents activities makes me hopeful.,0
12/30/2021 16:13:43,Female,Dhaka,,I don’t feel worthless but sometimes i feel a sad for not fulfilling their all desires. But i know that i always try my best and they would appreciate my effort. ,They don’t discourage me ever. They always listen to my opinion and give feedback. ,"No ,I don't find it difficult .",They always encourage me and support me.I never feel hopeless.,0
12/30/2021 16:28:23,Female,Dhaka,,"My father always wanted me to be a doctor but i was not that much attached with this profession and now I am doing LL.B. Yes, sometimes i felt that maybe I am worthless for not fulfilling their dream but then when I realize than when I will be happy with my career, my parents will also be happy to see my happy face.","Yes many time, such as I loved to dance and I wanted to be a dancer from my childhood but my parents didn't like this and they didn't allow me to learn dance from any school or teacher. And now I don't have that much interest in dance like the past.",I never did this type of experiment.,It depends sometimes how they are taking my activities. Sometimes their activities make me really proud. I never felt hopeless for them.,1
12/30/2021 16:43:26,Male,Dhaka,,"Yes, I often feel worthless for not fulfilling it. Sometimes I understand when there is no time.  ","Well, my parents support me always when I'm doing the right job. ","No, I Don't find it difficult.","Yes,  It makes me hopeful",0
12/30/2021 16:55:55,Female,Dhaka,,Yeah I feel kinda dejected but I never feel worthless about myself,"Nope, I always do whatever I love to do..others activities or opinions can never influence my interest",It doesn't seem that difficult though,"Of course hopeful, they always try to inspire me whatever the situation is however, exceptions happen sometimes :)",0
12/30/2021 16:56:14,Male,Chattogram,,no,Sometime i lose my interest from my decision ,No.,My parents actiactivities make me hopeful ,0
12/30/2021 16:57:15,Male,Dhaka,,"I have come to believe that we parents happiness come after the children being happy, happy being successful and moving ahead in life, in a healthy manner","Not really. My parents are supportive in a way that they would like to see some goals achieved to a certain point, they would definitely enquire about why i am below that point if i am, lots of times my parents did try to be a part of my hobbies atleast as a spectator even if its not done together.","Sorry to say that i do not have the experience of it now but when i was younger, i would openly tell them any activity that i would like to do together",I wish to have their good qualities,0
12/30/2021 17:05:33,Female,Dhaka,,"I never regretted choosing my wishes over my parent's wishes. They understand and gives priority to mine. I do feel a bit low for not prioritizing their wish sometimes but later, when they see me happy taking the decision they become more happy and that kind of nullifies the feeling.","No, I like what I like and that's never gonna change, even for my parents. I do have hobbies that my parents don't appreciate, but they don't stop me from doing what I like. So, I'm forever grateful to them for always being so understanding.",I don't. I often take initiatives to do sth and my parent's activities kind of inspires me to do so.,"Great. Not too hopeful and not also too hopeless, kind of balanced.",0
12/30/2021 17:06:01,Female,Dhaka,,"I don't feel  worthless, but sometimes i think that if i had chosen my parents desire, i would have been leading in a different life.",My parents are enough support regarding my interests,None,"In some cases, i feel hopeless.",0
12/30/2021 17:11:59,Female,Dhaka,,I didn't do many things which they expected from me ,Idk really because of so many things.sometimes my dad don't agree with my decision,Yea I find it sometimes so much difficult ,Hopeless for sure cz it hurts my feelings,0
12/30/2021 17:27:28,Female,Dhaka,,"When I do bad in exams or exam results don't meet their expectations, I feel worthless.",My parents are always supportive regarding my interests and feelings.,No I don't ,Makes me hopeful.,0
12/30/2021 17:28:53,Female,Dhaka,,Yes I feel worthless sometimes maybe I could do better to feel them proud.,No I don't. Most of the time my parents are supportive towards my decision.,No I don't find it difficult.,My parents always make me hopeful.,0
12/30/2021 17:33:28,Male,Chattogram,,I dont feel worthless but also at the same time I should have done better given the opportunities i got. ,Mostly they are encouraging but sometime they discourage as well due to their lack of interest in the activity.,My parents are pretty much helpful about these stuffs. ,My always parents provided me enough to stay hopeful and to think freely.,0
12/30/2021 17:49:34,Female,Dhaka,,Yes I still feel it.and I regret for it . And Iam trying harder to make them proud.,Yes because they are not supportive,No sometimes I feel they don't understand me but after taking a decision I regret that I wan wrong,They makes me hopeless.,1
12/30/2021 17:55:09,Female,Chattogram,,"Yes, sometimes I do. My parents are supportive of my decisions but they really seem to be disappointed at once saying that if I would listen to them then things must have been better than now. They also discuss among themselves that I am not to make them proud like other children.  At times I feel like a worthless child of them. ","I don't lose interest but I don't get permission also. If I am interested in some extracurricular activities, they just won't let me do it. They only allow me to do things that are directly connected to study. ","No, I don't find it difficult. It's really helpful to know the faults and corrections. ",I am not totally hopeless in them. But I wish they try to understand me more and be supportive to my decisions. ,1
12/30/2021 17:56:11,Female,Dhaka,,My parents are very supportive. I feel like I'm failing them. They are so good and what I'm doing? Did I give them enough reason to be proud? I don't think so.,They always listen to me and give their opinion. My parents told me to choose the path i love. I have the freedom to do anything but I have to be successful in that career.,Yes. Some time's my father become negative about something that I feel demotivated. ,90% They are not that much supportive so i feel hopeless. ,1
12/30/2021 18:02:41,Female,Dhaka,,"Yes my father wanted to admit me on DU. After admission in BRAC I had to tolerate taunts regarding, Ididn't get chance in DU😐",My parents listen my interests. My father never wanted me to study on EEE but I did and he agreed,"Yes. As my parents are less lenient with me, I have to give a lot reason before taking any initiative.",Hopeless. They never appreciate but if other person does something they come and taunt.,1
12/30/2021 18:11:36,Female,Dhaka,,Yes I feel worthless. My parents have treated me well and I don't like disappointing them,Yes that's why I only share my interests my parents would approve of with them,I find it really difficult sometimes.,"My parents are their own people. Although I am often disappointed in them, their activities dont have much of an effect on me.",1
